	title	tconst	averageRating	numVotes	region	language	isOriginalTitle	titleType	isAdult	runtimeMinutes	genres
1	3 Ninjas	tt0103596	5.3	18833	BR	NA	0	movie	0	84	Action,Comedy,Family
2	3 Ninjas	tt0103596	5.3	18833	NA	NA	1	movie	0	84	Action,Comedy,Family
3	3 Ninjas	tt0103596	5.3	18833	US	NA	0	movie	0	84	Action,Comedy,Family
4	Aces	tt0103617	3.5	2554	US	NA	0	movie	0	98	Action
5	Aces	tt0460703	2.6	449	NA	NA	1	movie	0	88	Action,Drama
6	Aces	tt0460703	2.6	449	US	NA	0	movie	0	88	Action,Drama
7	Adrenalin	tt0353164	7.2	230	DK	NA	0	short	0	40	Documentary,Short
8	Adrenalin	tt0115471	4	3218	NA	NA	0	movie	0	77	Action,Sci-Fi,Thriller
9	Adrenalin	tt0115471	4	3218	HU	NA	0	movie	0	77	Action,Sci-Fi,Thriller
10	Adrenalin	tt0115471	4	3218	MX	NA	0	movie	0	77	Action,Sci-Fi,Thriller
11	Adrenalin	tt0479884	7	222159	SI	NA	0	movie	0	88	Action,Crime,Thriller
12	Adrenalin	tt0318276	3.7	447	RS	NA	0	movie	0	NA	Crime,Drama,Romance
13	Adrenalin	tt0479884	7	222159	RS	NA	0	movie	0	88	Action,Crime,Thriller
14	Air Bud	tt0118570	5.2	15218	ES	NA	0	movie	0	98	Comedy,Drama,Family
15	Air Bud	tt0118570	5.2	15218	US	NA	0	movie	0	98	Comedy,Drama,Family
16	Air Bud	tt0118570	5.2	15218	NA	NA	1	movie	0	98	Comedy,Drama,Family
17	Air Bud	tt0118570	5.2	15218	GR	NA	0	movie	0	98	Comedy,Drama,Family
18	Amityville	tt0384806	6	99434	RO	NA	0	movie	0	90	Drama,Horror,Mystery
19	Amityville	tt0384806	6	99434	RO	NA	0	movie	0	90	Drama,Horror,Mystery
20	Amityville	tt0384806	6	99434	PL	NA	0	movie	0	90	Drama,Horror,Mystery
21	Amityville	tt0384806	6	99434	PL	NA	0	movie	0	90	Drama,Horror,Mystery
22	Amityville	tt0384806	6	99434	FR	NA	0	movie	0	90	Drama,Horror,Mystery
23	Amityville	tt0384806	6	99434	FR	NA	0	movie	0	90	Drama,Horror,Mystery
24	Austin Powers	tt0118655	7	207701	MX	NA	0	movie	0	94	Adventure,Comedy
25	Austin Powers	tt0118655	7	207701	MX	NA	0	movie	0	94	Adventure,Comedy
26	Austin Powers	tt0118655	7	207701	US	NA	0	movie	0	94	Adventure,Comedy
27	Austin Powers	tt0118655	7	207701	US	NA	0	movie	0	94	Adventure,Comedy
28	Austin Powers	tt0118655	7	207701	AR	NA	0	movie	0	94	Adventure,Comedy
29	Austin Powers	tt0118655	7	207701	AR	NA	0	movie	0	94	Adventure,Comedy
30	Austin Powers	tt0118655	7	207701	SI	NA	0	movie	0	94	Adventure,Comedy
31	Austin Powers	tt0118655	7	207701	SI	NA	0	movie	0	94	Adventure,Comedy
32	Austin Powers	tt0118655	7	207701	DK	NA	0	movie	0	94	Adventure,Comedy
33	Austin Powers	tt0118655	7	207701	DK	NA	0	movie	0	94	Adventure,Comedy
34	Austin Powers	tt0118655	7	207701	FR	NA	0	movie	0	94	Adventure,Comedy
35	Austin Powers	tt0118655	7	207701	FR	NA	0	movie	0	94	Adventure,Comedy
36	Austin Powers	tt0118655	7	207701	CA	fr	0	movie	0	94	Adventure,Comedy
37	Austin Powers	tt0118655	7	207701	CA	fr	0	movie	0	94	Adventure,Comedy
38	Babe	tt0103747	5.9	8607	PL	NA	0	movie	0	115	Biography,Drama,Sport
39	Babe	tt0103747	5.9	8607	HU	NA	0	movie	0	115	Biography,Drama,Sport
40	Babe	tt1619607	6.3	7	US	NA	0	short	0	7	Comedy,Short
41	Babe	tt0103747	5.9	8607	GR	NA	0	movie	0	115	Biography,Drama,Sport
42	Batman	tt0060153	6.5	27611	IT	NA	0	movie	0	105	Adventure,Comedy,Crime
43	Batman	tt0060153	6.5	27611	HU	NA	0	movie	0	105	Adventure,Comedy,Crime
44	Batman	tt0060153	6.5	27611	MX	NA	0	movie	0	105	Adventure,Comedy,Crime
45	Batman	tt0060153	6.5	27611	CO	NA	0	movie	0	105	Adventure,Comedy,Crime
46	Batman	tt0060153	6.5	27611	CL	NA	0	movie	0	105	Adventure,Comedy,Crime
47	Batman	tt0060153	6.5	27611	ES	NA	0	movie	0	105	Adventure,Comedy,Crime
48	Batman	tt0035665	6.4	1669	UY	NA	0	movie	0	260	Action,Adventure,Crime
49	Batman	tt0035665	6.4	1669	US	NA	0	movie	0	260	Action,Adventure,Crime
50	Batman	tt0060153	6.5	27611	CA	fr	0	movie	0	105	Adventure,Comedy,Crime
51	Batman	tt0035665	6.4	1669	NA	NA	1	movie	0	260	Action,Adventure,Crime
52	Batman	tt0060153	6.5	27611	FI	NA	0	movie	0	105	Adventure,Comedy,Crime
53	Batman	tt0060153	6.5	27611	BE	fr	0	movie	0	105	Adventure,Comedy,Crime
54	Batman	tt0060153	6.5	27611	FR	NA	0	movie	0	105	Adventure,Comedy,Crime
55	Batman	tt0060153	6.5	27611	UY	NA	0	movie	0	105	Adventure,Comedy,Crime
56	Batman	tt0060153	6.5	27611	PT	NA	0	movie	0	105	Adventure,Comedy,Crime
57	Candyman	tt0103919	6.6	59192	NA	NA	1	movie	0	99	Horror,Thriller
58	Candyman	tt0103919	6.6	59192	GR	NA	0	movie	0	99	Horror,Thriller
59	Candyman	tt0103919	6.6	59192	FR	NA	0	movie	0	99	Horror,Thriller
60	Candyman	tt0103919	6.6	59192	MX	NA	0	movie	0	99	Horror,Thriller
61	Candyman	tt0103919	6.6	59192	NL	NA	0	movie	0	99	Horror,Thriller
62	Candyman	tt1524107	6.6	225	NZ	NA	0	movie	0	75	Biography,Documentary
63	Candyman	tt0103919	6.6	59192	FI	NA	0	movie	0	99	Horror,Thriller
64	Candyman	tt1524107	6.6	225	NA	NA	1	movie	0	75	Biography,Documentary
65	Candyman	tt0103919	6.6	59192	HR	NA	0	movie	0	99	Horror,Thriller
